well,percent_of_stock,cell_count_per_ml_mean,cell_count_per_ml_std.error
B2,0.1,27698.366559322036,1552.8096620481833
B3,0.2,42482.0633125,996.784827945916
B4,0.01,1839.3145584982542,8.661521510508392
B5,1,246638.5310057737,4488.664145435346
B6,0.6666666666666666,234667.28254053133,5483.935593245129
B7,0.2,94539.53850195315,4392.017508029321
C2,0.6666666666666666,134728.46305097517,1513.3411989095202
C3,1,411190.0919420732,9382.137612558288
C4,0.001,234.71419683031465,8.39087554039439
C5,0.01,0.5973391480339246,0.3148028323058883
C6,1,354112.31265888433,6684.2859443862635
C7,0.5,152180.66040784674,4100.996810833284
D2,0.05,8717.166428485578,89.87294954149674
D3,0.6666666666666666,175034.43642945544,2048.8028600179923
D4,0.5,149853.4556212547,2867.189628119444
D5,0.05,6835.544761718751,332.0485971473459
D6,0.1,17349.965660060978,465.13195042219127
D7,0.01,742.2720282196972,21.24304175977194
E2,0.2,92886.88948871841,3338.591867985906
E3,0.1,13474.219123404873,310.8258369070875
E4,0.001,420.2438679596909,39.22298178117203
E5,0.5,214387.02762137027,6569.897247769001
E6,0.001,1004.0056413240881,10.87396870915555
E7,0.05,47279.54673076924,3857.512559722432
