 ,Area,Mean,Min,Max
1,18,255,255,255
2,89,255,255,255
3,47,255,255,255
4,63,255,255,255
5,97,255,255,255
6,80,255,255,255
7,74,255,255,255
8,56,255,255,255
9,60,255,255,255
10,88,255,255,255
11,80,255,255,255
12,287,255,255,255
13,50,255,255,255
14,71,255,255,255
15,73,255,255,255
16,72,255,255,255
17,99,255,255,255
18,54,255,255,255
19,63,255,255,255
20,94,255,255,255
21,17,255,255,255
22,77,255,255,255
23,84,255,255,255
24,86,255,255,255
25,158,255,255,255
26,5,255,255,255
27,65,255,255,255
28,111,255,255,255
29,69,255,255,255
30,24,255,255,255
31,196,255,255,255
32,75,255,255,255
33,99,255,255,255
34,71,255,255,255
35,87,255,255,255
36,85,255,255,255
37,66,255,255,255
38,59,255,255,255
39,62,255,255,255
40,59,255,255,255
41,66,255,255,255
42,88,255,255,255
43,91,255,255,255
44,81,255,255,255
45,63,255,255,255
46,62,255,255,255
47,84,255,255,255
48,55,255,255,255
49,72,255,255,255
50,58,255,255,255
51,65,255,255,255
52,57,255,255,255
53,70,255,255,255
54,57,255,255,255
55,75,255,255,255
56,100,255,255,255
57,88,255,255,255
58,74,255,255,255
59,75,255,255,255
60,84,255,255,255
61,81,255,255,255
62,65,255,255,255
63,110,255,255,255
64,84,255,255,255
65,57,255,255,255
66,81,255,255,255
67,70,255,255,255
68,90,255,255,255
69,75,255,255,255
70,20,255,255,255
