 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	3	255	550.500	902.500	6.243	3.385	1.128	0.000
2	43	255	323.430	897.616	25.213	9.071	6.035	160.772
3	44	255	77.432	896.045	24.971	8.489	6.599	167.413
4	2	255	495.500	899.000	4.828	2.257	1.128	90.000
5	30	255	485.900	894.233	23.556	9.102	4.196	164.662
6	53	255	496.689	887.179	47.698	18.027	3.743	87.199
7	1	255	494.500	895.500	2.828	1.128	1.128	0.000
8	46	255	602.065	886.457	26.971	10.655	5.497	84.194
9	2	255	479.000	886.500	4.243	2.257	1.128	0.000
10	46	255	548.500	879.587	23.556	7.830	7.480	90.000
11	44	255	696.000	880.000	23.314	8.598	6.515	90.000
12	19	255	479.026	876.342	23.314	9.447	2.561	101.367
13	38	255	912.132	876.974	22.971	8.339	5.802	60.891
14	3	255	218.167	878.833	5.657	2.365	1.615	45.000
15	57	255	789.096	873.570	26.971	9.062	8.009	85.025
16	109	255	499.959	868.005	46.870	13.387	10.367	116.203
17	1	255	497.500	876.500	2.828	1.128	1.128	0.000
18	59	255	550.856	869.907	28.385	10.765	6.978	66.843
19	58	255	628.552	870.500	27.556	10.091	7.319	94.175
20	56	255	185.286	862.786	27.213	9.456	7.540	40.547
21	83	255	499.608	855.837	36.971	12.035	8.781	55.769
22	53	255	508.783	854.406	26.142	9.378	7.196	83.687
23	51	255	338.029	852.990	26.971	10.293	6.309	43.147
24	59	255	352.449	843.975	28.142	10.790	6.962	103.708
25	8	255	497.250	846.500	12.485	4.373	2.329	77.399
26	47	255	319.819	843.436	25.799	10.231	5.849	131.692
27	23	255	498.674	835.152	30.385	11.426	2.563	103.789
28	78	255	370.833	826.577	31.799	11.770	8.438	154.074
29	30	255	500.467	822.267	31.799	10.360	3.687	98.046
30	76	255	691.105	822.329	32.971	12.263	7.891	75.247
31	4	255	705.000	827.000	5.657	2.257	2.257	0.000
32	1	255	479.500	823.500	2.828	1.128	1.128	0.000
33	9	255	479.056	819.722	11.657	5.229	2.191	94.731
34	3	255	506.833	818.167	5.657	2.365	1.615	45.000
35	17	255	501.735	812.676	23.314	8.786	2.463	92.176
36	50	255	685.400	809.440	25.556	8.855	7.190	97.676
37	2	255	480.500	812.000	4.828	2.257	1.128	90.000
38	22	255	483.273	802.273	32.142	12.531	2.235	86.638
39	56	255	702.464	804.946	28.971	11.132	6.405	34.369
40	2	255	502.500	805.000	4.828	2.257	1.128	90.000
41	44	255	443.705	798.545	23.799	8.991	6.231	66.403
42	37	255	494.959	799.419	21.899	8.011	5.881	118.810
43	55	255	1132.227	798.427	28.385	10.168	6.887	108.963
44	72	255	250.500	796.028	32.627	12.601	7.275	109.663
45	57	255	502.430	786.149	43.799	12.916	5.619	95.410
46	80	255	445.262	785.575	32.627	12.678	8.034	129.136
47	73	255	591.212	785.856	31.456	11.846	7.846	142.623
48	72	255	975.222	786.097	31.213	11.706	7.831	51.085
49	65	255	389.638	784.931	29.899	10.935	7.568	92.848
50	1	255	484.500	789.500	2.828	1.128	1.128	0.000
51	20	255	501.950	774.500	23.799	6.307	4.037	97.182
52	4	255	1122.000	773.000	5.657	2.257	2.257	0.000
53	1	255	1125.500	773.500	2.828	1.128	1.128	0.000
54	37	255	502.122	764.824	26.728	11.546	4.080	92.067
55	62	255	713.919	765.000	27.799	10.269	7.688	156.788
56	56	255	424.304	762.607	28.627	10.958	6.507	123.122
57	9	255	1044.500	761.500	9.657	3.385	3.385	0.000
58	61	255	502.730	749.434	45.456	17.999	4.315	92.918
59	69	255	315.210	746.572	31.213	11.253	7.807	24.127
60	36	255	545.139	742.472	24.385	8.602	5.328	99.499
61	3	255	602.167	742.833	5.657	2.365	1.615	45.000
62	51	255	268.755	736.480	26.971	10.318	6.294	111.962
63	2	255	487.500	739.000	4.828	2.257	1.128	90.000
64	159	255	504.462	717.393	89.355	37.961	5.333	94.653
65	64	255	428.531	730.688	30.142	11.437	7.125	101.458
66	1	255	487.500	735.500	2.828	1.128	1.128	0.000
67	65	255	646.669	730.392	31.456	12.041	6.873	50.892
68	40	255	395.925	720.425	22.971	8.860	5.748	37.776
69	94	255	667.085	716.255	36.870	13.500	8.866	39.524
70	10	255	513.500	711.000	10.485	4.444	2.865	116.565
71	49	255	532.255	709.153	25.556	8.347	7.474	53.058
72	44	255	744.614	699.068	24.142	8.902	6.293	116.749
73	70	255	970.771	698.629	30.627	11.515	7.740	155.575
74	39	255	8.603	697.397	22.142	7.963	6.236	45.001
75	46	255	382.739	693.239	25.556	9.811	5.970	94.548
76	68	255	229.897	689.191	29.799	10.143	8.536	171.187
77	1	255	444.500	693.500	2.828	1.128	1.128	0.000
78	59	255	8.517	687.686	29.799	11.505	6.529	111.926
79	2	255	476.000	678.500	4.243	2.257	1.128	0.000
80	54	255	309.296	672.796	26.971	10.372	6.629	68.980
81	50	255	607.340	653.120	27.556	10.911	5.835	109.203
82	49	255	615.092	650.786	25.556	10.176	6.131	76.799
83	51	255	390.480	650.049	28.042	11.438	5.677	140.185
84	9	255	508.722	649.500	19.657	8.599	1.333	96.736
85	1	255	656.500	653.500	2.828	1.128	1.128	0.000
86	81	255	263.080	646.537	32.627	11.665	8.841	126.880
87	59	255	648.771	642.076	29.213	9.647	7.787	90.535
88	42	255	639.762	640.571	24.142	8.158	6.555	52.474
89	2	255	509.500	642.000	4.828	2.257	1.128	90.000
90	26	255	509.308	635.462	28.385	9.818	3.372	82.251
91	55	255	803.755	628.082	26.971	10.496	6.672	141.168
92	1	255	508.500	627.500	2.828	1.128	1.128	0.000
93	28	255	510.071	622.357	28.142	10.317	3.455	92.851
94	81	255	138.907	616.858	32.870	12.661	8.145	136.240
95	62	255	781.113	615.839	29.799	11.222	7.035	154.549
96	77	255	547.396	611.994	33.799	12.958	7.566	68.253
97	1	255	511.500	614.500	2.828	1.128	1.128	0.000
98	4	255	510.000	611.000	5.657	2.257	2.257	0.000
99	58	255	158.569	605.569	27.799	10.279	7.184	74.734
100	1	255	511.500	606.500	2.828	1.128	1.128	0.000
101	1	255	493.500	598.500	2.828	1.128	1.128	0.000
102	74	255	840.108	590.459	31.456	11.771	8.004	131.804
103	68	255	348.338	587.912	31.213	11.875	7.291	49.374
104	2	255	495.500	590.000	4.828	2.257	1.128	90.000
105	35	255	723.700	587.043	22.142	8.167	5.456	75.534
106	85	255	293.088	583.841	33.556	12.790	8.462	79.117
107	18	255	783.111	581.222	15.314	5.698	4.022	102.236
108	52	255	344.846	568.327	26.385	10.321	6.415	125.311
109	62	255	494.000	567.935	28.971	10.888	7.250	66.309
110	72	255	745.125	568.000	30.627	11.195	8.189	49.444
111	60	255	1056.933	567.650	28.728	11.704	6.527	87.120
112	49	255	439.765	566.684	25.799	8.748	7.132	8.270
113	56	255	436.036	559.839	27.213	10.172	7.010	158.229
114	51	255	575.500	557.578	26.142	9.652	6.728	105.448
115	67	255	760.709	542.351	30.042	11.798	7.230	56.716
116	4	255	517.000	546.000	5.657	2.257	2.257	0.000
117	77	255	434.656	539.032	31.556	11.613	8.442	6.837
118	63	255	701.627	535.532	28.971	9.560	8.390	95.628
119	7	255	205.214	535.500	8.485	3.086	2.888	90.000
120	1	255	517.500	536.500	2.828	1.128	1.128	0.000
121	57	255	322.500	531.746	28.385	10.684	6.793	41.588
122	48	255	336.854	531.562	25.799	10.207	5.988	127.279
123	1	255	516.500	532.500	2.828	1.128	1.128	0.000
124	54	255	222.833	525.204	26.627	9.746	7.055	60.240
125	2	255	517.000	527.500	4.243	2.257	1.128	0.000
126	1	255	429.500	526.500	2.828	1.128	1.128	0.000
127	4	255	901.000	526.000	5.657	2.257	2.257	0.000
128	66	255	73.409	517.439	28.971	9.296	9.040	64.427
129	45	255	517.367	511.322	45.213	16.187	3.540	93.483
130	129	255	973.298	506.609	41.456	14.418	11.392	173.713
131	65	255	555.362	505.715	29.556	11.584	7.144	77.221
132	13	255	518.115	498.269	16.485	5.909	2.801	94.495
133	2	255	519.500	494.000	4.828	2.257	1.128	90.000
134	2	255	516.500	493.000	4.828	2.257	1.128	90.000
135	2	255	517.500	490.000	4.828	2.257	1.128	90.000
136	63	255	977.040	487.357	30.971	11.902	6.739	0.703
137	78	255	474.128	481.500	32.042	12.050	8.242	124.947
138	38	255	726.763	483.737	22.142	8.205	5.897	174.684
139	36	255	725.222	476.833	22.142	7.596	6.034	126.331
140	1	255	520.500	478.500	2.828	1.128	1.128	0.000
141	4	255	520.750	475.500	7.657	2.734	1.863	90.000
142	1	255	500.500	471.500	2.828	1.128	1.128	0.000
143	1	255	519.500	471.500	2.828	1.128	1.128	0.000
144	69	255	975.688	467.529	29.799	9.709	9.049	7.066
145	41	255	726.305	465.915	24.385	8.724	5.984	38.935
146	68	255	288.824	463.250	30.042	11.362	7.620	42.938
147	1	255	520.500	467.500	2.828	1.128	1.128	0.000
148	42	255	642.929	459.667	27.556	9.545	5.603	107.933
149	1	255	503.500	463.500	2.828	1.128	1.128	0.000
150	1	255	519.500	463.500	2.828	1.128	1.128	0.000
151	1	255	521.500	462.500	2.828	1.128	1.128	0.000
152	61	255	767.828	456.189	30.385	11.853	6.552	93.289
153	4	255	519.500	459.000	8.828	4.514	1.128	90.000
154	7	255	503.071	458.214	9.657	4.154	2.146	98.350
155	1	255	520.500	455.500	2.828	1.128	1.128	0.000
156	1	255	503.500	454.500	2.828	1.128	1.128	0.000
157	7	255	503.786	444.929	14.485	5.185	1.719	89.497
158	62	255	315.984	438.387	29.799	10.373	7.610	48.617
159	3	255	505.167	438.167	5.657	2.365	1.615	135.000
160	62	255	381.516	433.306	28.627	10.756	7.340	39.663
161	4	255	505.250	434.500	7.657	2.734	1.863	90.000
162	29	255	1222.466	428.879	23.314	9.962	3.707	88.861
163	3	255	505.500	429.500	6.828	3.385	1.128	90.000
164	1	255	505.500	426.500	2.828	1.128	1.128	0.000
165	63	255	247.421	421.310	28.971	9.833	8.158	179.549
166	61	255	395.795	420.779	27.799	10.286	7.551	164.443
167	1	255	506.500	423.500	2.828	1.128	1.128	0.000
168	5	255	524.100	416.900	9.657	4.076	1.562	69.006
169	66	255	181.182	412.303	31.213	11.342	7.409	42.993
170	1	255	521.500	415.500	2.828	1.128	1.128	0.000
171	3	255	622.167	414.167	5.657	2.365	1.615	135.000
172	28	255	522.679	408.000	30.971	13.167	2.708	91.647
173	71	255	547.923	402.007	31.799	11.949	7.566	99.378
174	2	255	503.500	405.000	4.828	2.257	1.128	90.000
175	50	255	757.820	401.920	24.971	9.066	7.022	142.373
176	1	255	505.500	403.500	2.828	1.128	1.128	0.000
177	73	255	417.568	396.911	32.627	12.006	7.742	111.113
178	68	255	44.706	396.265	30.042	10.813	8.007	140.926
179	1	255	507.500	400.500	2.828	1.128	1.128	0.000
180	3	255	522.833	398.833	5.657	2.365	1.615	135.000
181	1	255	507.500	395.500	2.828	1.128	1.128	0.000
182	62	255	28.887	389.887	28.870	11.187	7.056	45.000
183	1	255	522.500	394.500	2.828	1.128	1.128	0.000
184	50	255	180.140	387.680	26.971	10.263	6.203	105.987
185	2	255	507.500	392.000	4.828	2.257	1.128	90.000
186	1	255	589.500	391.500	2.828	1.128	1.128	0.000
187	92	255	473.652	380.837	35.456	13.328	8.789	134.279
188	6	255	508.167	382.667	9.657	4.134	1.848	77.067
189	3	255	494.833	381.167	5.657	2.365	1.615	45.000
190	1	255	508.500	378.500	2.828	1.128	1.128	0.000
191	100	255	1158.210	372.450	36.627	12.368	10.295	135.178
192	1	255	506.500	374.500	2.828	1.128	1.128	0.000
193	4	255	452.000	373.000	5.657	2.257	2.257	0.000
194	2	255	509.000	371.500	4.243	2.257	1.128	0.000
195	43	255	854.244	363.663	25.799	9.201	5.950	82.547
196	79	255	105.462	358.614	32.385	11.515	8.735	114.105
197	96	255	261.469	357.760	35.799	12.606	9.696	79.656
198	1	255	527.500	359.500	2.828	1.128	1.128	0.000
199	2	255	526.000	356.500	4.243	2.257	1.128	0.000
200	6	255	526.667	350.833	9.071	4.134	1.848	167.067
201	41	255	697.622	346.207	24.385	7.415	7.040	84.136
202	6	255	526.667	347.333	10.485	3.327	2.296	24.699
203	60	255	570.067	343.767	27.799	10.075	7.582	120.964
204	27	255	901.870	343.167	22.971	7.766	4.427	47.073
