 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	45	255	67.078	900.367	26.971	9.939	5.764	11.971
2	59	255	103.958	898.059	32.284	11.865	6.332	32.328
3	20	255	753.600	901.750	19.899	8.255	3.085	178.256
4	66	255	887.515	899.333	30.142	9.833	8.546	7.534
5	67	255	214.590	894.888	30.385	10.941	7.797	59.367
6	61	255	260.484	893.549	36.042	10.970	7.080	34.306
7	52	255	1065.154	880.673	30.385	10.705	6.185	106.502
8	51	255	609.206	882.990	27.556	10.462	6.207	12.268
9	48	255	909.938	879.417	30.042	10.081	6.062	35.013
10	54	255	22.852	876.037	30.971	8.760	7.849	40.291
11	42	255	250.548	877.310	26.385	8.354	6.401	84.395
12	64	255	812.719	876.922	28.385	10.586	7.697	161.425
13	18	255	1.167	874.167	20.485	7.927	2.891	93.954
14	83	255	163.681	872.801	33.799	11.656	9.066	92.746
15	50	255	306.520	872.660	31.799	9.876	6.446	60.181
16	95	255	914.258	863.616	38.284	13.218	9.151	113.903
17	77	255	1142.994	861.331	33.213	12.141	8.075	24.222
18	62	255	136.935	860.032	28.971	10.634	7.424	62.610
19	74	255	638.041	854.595	30.971	11.058	8.520	33.061
20	11	255	534.773	854.591	12.485	3.817	3.669	108.435
21	54	255	446.796	849.407	27.799	10.875	6.322	18.175
22	79	255	176.019	846.652	33.213	11.179	8.998	123.539
23	47	255	188.053	843.181	29.213	9.107	6.571	43.426
24	51	255	422.108	843.971	29.213	11.119	5.840	151.541
25	60	255	943.750	841.250	30.627	11.747	6.503	138.705
26	4	255	428.000	845.000	5.657	2.257	2.257	0.000
27	92	255	1035.087	838.772	34.627	12.056	9.716	61.105
28	61	255	1218.975	837.123	29.213	10.601	7.327	152.132
29	82	255	16.159	834.402	33.799	12.112	8.620	20.205
30	39	255	380.526	831.731	26.728	8.687	5.716	135.012
31	2	255	382.500	836.000	4.828	2.257	1.128	90.000
32	65	255	823.177	830.008	30.385	10.691	7.741	152.688
33	83	255	864.801	825.416	38.042	10.350	10.210	82.119
34	80	255	410.600	823.000	32.385	10.942	9.309	48.529
35	81	255	252.833	817.377	34.627	11.015	9.363	61.434
36	57	255	543.430	818.237	28.627	10.444	6.949	166.399
37	84	255	724.500	816.786	33.213	11.216	9.536	171.215
38	55	255	1017.664	816.809	26.627	9.383	7.463	10.930
39	69	255	1203.471	813.471	31.799	12.077	7.274	141.278
40	39	255	1219.013	814.321	24.385	9.298	5.340	176.424
41	59	255	30.619	809.297	28.385	8.995	8.352	66.807
42	36	255	297.583	810.278	25.213	9.035	5.073	127.825
43	74	255	559.919	808.486	36.870	12.652	7.447	157.495
44	88	255	1169.386	805.193	34.627	12.073	9.280	47.227
45	60	255	761.367	801.917	34.870	10.834	7.051	139.778
46	88	255	152.580	800.727	36.042	13.604	8.236	35.918
47	81	255	324.920	801.142	33.213	11.340	9.095	23.971
48	48	255	593.875	800.458	28.385	10.587	5.773	152.253
49	2	255	748.500	803.000	4.828	2.257	1.128	90.000
50	45	255	518.589	796.122	27.213	7.859	7.290	140.318
51	55	255	29.736	795.264	27.799	9.894	7.078	49.294
