 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	4	255	438.000	902.500	8.243	4.514	1.128	0.000
2	49	255	654.173	900.276	26.971	9.733	6.410	173.200
3	79	255	956.044	864.867	31.213	10.780	9.331	41.988
4	49	255	360.235	849.214	35.213	9.362	6.664	112.624
5	64	255	1219.344	835.438	28.385	9.152	8.903	27.037
6	68	255	158.779	832.529	30.385	11.151	7.765	40.856
7	74	255	330.230	832.743	31.213	11.298	8.339	25.835
8	53	255	411.066	821.877	26.971	10.308	6.546	82.853
9	76	255	365.197	801.395	32.385	12.174	7.948	28.381
10	33	255	1.742	778.924	23.314	10.019	4.194	91.382
11	105	255	808.948	775.252	37.456	13.042	10.251	46.168
12	80	255	988.788	771.775	33.213	11.603	8.779	15.843
13	98	255	60.959	760.194	36.042	12.171	10.252	29.722
14	38	255	1051.447	748.632	24.971	9.243	5.234	9.219
15	51	255	419.696	724.794	27.213	10.036	6.470	45.372
16	96	255	300.719	719.375	35.213	11.197	10.916	128.790
17	64	255	129.828	708.703	28.627	9.647	8.447	107.484
18	81	255	275.512	707.586	32.385	11.592	8.897	110.111
19	40	255	309.150	696.375	25.556	9.993	5.096	112.522
20	88	255	529.795	692.739	34.284	12.909	8.680	143.695
21	1	255	306.500	693.500	2.828	1.128	1.128	0.000
22	66	255	839.742	681.667	28.971	9.338	8.999	108.038
23	59	255	272.246	616.127	27.799	8.845	8.493	123.942
24	69	255	1117.717	614.601	29.556	9.697	9.060	60.283
25	99	255	319.520	600.641	36.042	12.817	9.835	139.189
26	89	255	370.994	595.017	35.213	12.392	9.145	111.755
27	65	255	1126.869	585.469	29.213	10.768	7.686	80.643
28	65	255	650.223	578.315	28.627	9.979	8.294	157.275
29	70	255	506.100	569.429	30.385	10.602	8.407	24.447
30	90	255	672.767	567.289	35.213	13.326	8.599	3.205
31	77	255	767.032	556.357	32.042	10.701	9.162	138.791
32	69	255	612.022	545.065	30.627	9.509	9.239	71.565
33	42	255	958.214	540.905	28.385	8.951	5.974	179.940
34	89	255	1102.444	534.230	34.971	12.789	8.860	103.832
35	2	255	954.000	537.500	4.243	2.257	1.128	0.000
36	101	255	1057.955	527.104	35.799	12.374	10.392	170.915
37	85	255	971.641	513.076	32.627	11.738	9.220	142.322
38	58	255	895.414	500.914	26.971	10.112	7.303	148.648
39	73	255	100.610	494.705	31.799	11.724	7.928	61.729
40	95	255	308.384	494.700	35.213	12.678	9.541	137.921
41	82	255	723.146	494.720	32.627	12.351	8.453	162.807
42	77	255	1141.396	489.071	32.627	12.322	7.957	66.213
43	75	255	653.487	474.607	31.213	11.422	8.360	13.220
44	65	255	620.285	460.054	29.213	10.813	7.654	128.906
45	87	255	180.420	458.305	34.627	12.796	8.656	129.784
46	84	255	746.440	455.917	33.799	12.684	8.432	65.867
47	47	255	788.968	457.181	29.213	10.911	5.485	7.359
48	78	255	112.487	437.615	31.799	11.083	8.961	8.340
49	58	255	1210.224	426.569	27.799	10.643	6.939	87.832
50	56	255	475.339	425.125	26.971	9.910	7.195	79.128
51	68	255	69.794	422.162	30.385	11.641	7.437	154.001
52	88	255	1013.739	417.091	34.627	13.284	8.434	147.641
53	70	255	396.057	403.871	30.385	10.786	8.263	80.272
54	73	255	413.856	400.623	31.213	10.188	9.123	96.764
55	69	255	819.920	350.964	29.799	10.126	8.676	85.889
56	44	255	540.318	341.750	24.385	9.057	6.185	110.594
57	6	255	897.333	324.500	8.485	3.718	2.055	126.870
58	86	255	1038.256	309.453	34.627	13.058	8.386	43.314
59	41	255	1121.061	308.451	28.627	8.899	5.866	166.403
60	70	255	201.929	276.414	29.799	10.612	8.399	158.236
61	75	255	812.007	251.527	31.556	11.080	8.618	28.622
62	43	255	863.291	238.267	24.385	8.225	6.657	90.970
63	87	255	727.270	210.776	33.799	12.250	9.042	10.351
64	84	255	1188.702	197.429	34.627	12.756	8.385	89.160
65	81	255	668.302	183.562	33.456	12.322	8.369	136.509
66	68	255	645.382	175.426	30.385	11.429	7.576	172.010
67	78	255	645.859	164.372	40.284	11.609	8.555	142.697
68	65	255	668.685	130.500	28.971	9.112	9.082	90.000
69	69	255	1153.819	124.457	30.385	10.987	7.996	96.527
70	56	255	1138.696	118.929	27.799	10.001	7.129	132.604
71	84	255	494.690	61.286	32.627	10.940	9.777	148.130
72	80	255	599.425	40.888	33.213	12.072	8.437	71.197
73	81	255	362.833	4.216	33.456	12.184	8.465	136.995
