 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	1	255	3.500	902.500	2.828	1.128	1.128	0.000
2	1	255	34.500	902.500	2.828	1.128	1.128	0.000
3	1	255	39.500	902.500	2.828	1.128	1.128	0.000
4	1	255	60.500	902.500	2.828	1.128	1.128	0.000
5	1	255	72.500	902.500	2.828	1.128	1.128	0.000
6	1	255	89.500	902.500	2.828	1.128	1.128	0.000
7	1	255	121.500	902.500	2.828	1.128	1.128	0.000
8	1	255	131.500	902.500	2.828	1.128	1.128	0.000
9	1	255	170.500	902.500	2.828	1.128	1.128	0.000
10	3	255	192.167	901.500	7.657	3.213	1.189	118.155
11	1	255	199.500	902.500	2.828	1.128	1.128	0.000
12	4	255	204.500	901.750	8.485	3.676	1.385	50.310
13	1	255	220.500	902.500	2.828	1.128	1.128	0.000
14	1	255	223.500	902.500	2.828	1.128	1.128	0.000
15	6	255	229.333	901.167	11.314	3.641	2.098	71.736
16	1	255	237.500	902.500	2.828	1.128	1.128	0.000
17	1	255	245.500	902.500	2.828	1.128	1.128	0.000
18	4	255	268.000	901.750	9.071	3.969	1.283	162.391
19	1	255	272.500	902.500	2.828	1.128	1.128	0.000
20	1	255	275.500	902.500	2.828	1.128	1.128	0.000
21	1	255	284.500	902.500	2.828	1.128	1.128	0.000
22	1	255	298.500	902.500	2.828	1.128	1.128	0.000
23	1	255	309.500	902.500	2.828	1.128	1.128	0.000
24	1	255	313.500	902.500	2.828	1.128	1.128	0.000
25	2	255	318.500	902.000	4.828	2.257	1.128	90.000
26	1	255	321.500	902.500	2.828	1.128	1.128	0.000
27	4	255	331.500	901.500	8.485	2.838	1.795	135.000
28	1	255	333.500	902.500	2.828	1.128	1.128	0.000
29	22	255	338.455	898.000	40.770	7.424	3.773	123.079
30	1	255	344.500	902.500	2.828	1.128	1.128	0.000
31	1	255	350.500	902.500	2.828	1.128	1.128	0.000
32	1	255	359.500	902.500	2.828	1.128	1.128	0.000
33	2	255	362.000	902.000	5.657	2.596	0.981	135.000
34	1	255	364.500	902.500	2.828	1.128	1.128	0.000
35	2	255	369.000	902.000	5.657	2.596	0.981	135.000
36	2	255	372.000	902.000	5.657	2.596	0.981	135.000
37	3	255	375.500	902.167	8.485	2.446	1.561	0.000
38	4	255	379.250	901.750	7.657	3.192	1.596	108.435
39	1	255	383.500	902.500	2.828	1.128	1.128	0.000
40	1	255	385.500	902.500	2.828	1.128	1.128	0.000
41	2	255	389.000	902.000	5.657	2.596	0.981	45.000
42	5	255	396.900	901.300	7.657	3.144	2.025	108.435
43	17	255	404.088	899.618	25.799	6.939	3.119	39.335
44	1	255	419.500	902.500	2.828	1.128	1.128	0.000
45	1	255	423.500	902.500	2.828	1.128	1.128	0.000
46	1	255	425.500	902.500	2.828	1.128	1.128	0.000
47	5	255	426.500	901.100	11.899	4.833	1.317	27.892
48	2	255	432.000	902.500	4.243	2.257	1.128	0.000
49	8	255	436.500	901.750	14.142	4.768	2.136	12.821
50	2	255	448.000	902.000	5.657	2.596	0.981	135.000
51	1	255	450.500	902.500	2.828	1.128	1.128	0.000
52	2	255	453.000	902.500	4.243	2.257	1.128	0.000
53	4	255	457.000	902.000	11.314	3.387	1.504	166.717
54	31	255	466.145	900.306	42.527	9.274	4.256	163.218
55	1	255	470.500	902.500	2.828	1.128	1.128	0.000
56	38	255	476.289	898.342	63.983	7.880	6.140	73.489
57	4	255	483.250	902.000	8.485	2.887	1.764	14.872
58	20	255	488.900	899.900	28.870	7.871	3.235	21.030
59	99	255	504.742	891.288	104.610	17.183	7.336	123.462
60	3	255	504.833	901.833	5.657	2.365	1.615	135.000
61	3	255	510.500	902.500	6.243	3.385	1.128	0.000
62	1	255	514.500	902.500	2.828	1.128	1.128	0.000
63	4	255	518.500	902.000	7.071	3.216	1.583	31.717
64	37	255	522.149	895.797	51.841	9.024	5.221	68.259
65	11	255	526.409	900.955	16.728	6.000	2.334	135.179
66	1	255	528.500	902.500	2.828	1.128	1.128	0.000
67	1	255	530.500	902.500	2.828	1.128	1.128	0.000
68	8	255	531.750	900.000	14.485	5.325	1.913	72.704
69	31	255	537.113	898.468	53.841	6.709	5.884	49.778
70	4	255	543.500	902.250	7.071	2.734	1.863	0.000
71	30	255	547.000	899.500	25.799	7.909	4.830	21.245
72	2	255	552.000	902.000	5.657	2.596	0.981	45.000
73	15102	255	689.697	858.501	1253.374	205.758	93.452	160.324
74	2	255	558.500	902.000	4.828	2.257	1.128	90.000
75	1	255	603.500	902.500	2.828	1.128	1.128	0.000
76	1	255	607.500	902.500	2.828	1.128	1.128	0.000
77	11	255	645.409	901.955	14.485	5.570	2.515	172.921
78	242203	255	1046.876	592.040	4780.337	794.584	388.105	105.212
79	1	255	36.500	901.500	2.828	1.128	1.128	0.000
80	1	255	64.500	901.500	2.828	1.128	1.128	0.000
81	1	255	80.500	901.500	2.828	1.128	1.128	0.000
82	2	255	139.000	901.000	5.657	2.596	0.981	45.000
83	1	255	150.500	901.500	2.828	1.128	1.128	0.000
84	1	255	166.500	901.500	2.828	1.128	1.128	0.000
85	4	255	232.750	900.000	10.485	4.428	1.150	53.909
86	1	255	252.500	901.500	2.828	1.128	1.128	0.000
87	3	255	262.833	900.500	7.657	3.213	1.189	118.155
88	3	255	279.500	901.500	6.243	3.385	1.128	0.000
89	1	255	290.500	901.500	2.828	1.128	1.128	0.000
90	1	255	304.500	901.500	2.828	1.128	1.128	0.000
91	1	255	316.500	901.500	2.828	1.128	1.128	0.000
92	1	255	341.500	901.500	2.828	1.128	1.128	0.000
93	6	255	353.833	900.333	11.314	5.054	1.511	43.870
94	1	255	399.500	901.500	2.828	1.128	1.128	0.000
95	1	255	409.500	901.500	2.828	1.128	1.128	0.000
96	3	255	414.833	900.500	7.657	3.213	1.189	61.845
97	1	255	445.500	901.500	2.828	1.128	1.128	0.000
98	6	255	502.167	900.167	9.071	3.489	2.190	135.000
99	4	255	508.250	900.000	9.657	3.969	1.283	107.609
100	1	255	60.500	900.500	2.828	1.128	1.128	0.000
101	1	255	69.500	900.500	2.828	1.128	1.128	0.000
102	2	255	99.000	900.000	5.657	2.596	0.981	45.000
103	3	255	123.500	899.500	6.828	3.385	1.128	90.000
104	1	255	127.500	900.500	2.828	1.128	1.128	0.000
105	1	255	143.500	900.500	2.828	1.128	1.128	0.000
106	1	255	155.500	900.500	2.828	1.128	1.128	0.000
107	2	255	175.000	900.500	4.243	2.257	1.128	0.000
108	2	255	195.000	900.000	5.657	2.596	0.981	45.000
109	2	255	200.000	900.000	5.657	2.596	0.981	135.000
110	1	255	208.500	900.500	2.828	1.128	1.128	0.000
111	1	255	219.500	900.500	2.828	1.128	1.128	0.000
112	1	255	226.500	900.500	2.828	1.128	1.128	0.000
113	1	255	235.500	900.500	2.828	1.128	1.128	0.000
114	2	255	238.000	900.000	5.657	2.596	0.981	45.000
115	1	255	242.500	900.500	2.828	1.128	1.128	0.000
116	1	255	250.500	900.500	2.828	1.128	1.128	0.000
117	1	255	254.500	900.500	2.828	1.128	1.128	0.000
118	1	255	259.500	900.500	2.828	1.128	1.128	0.000
119	3	255	281.500	899.833	7.071	3.213	1.189	28.155
120	1	255	284.500	900.500	2.828	1.128	1.128	0.000
121	2	255	298.000	900.500	4.243	2.257	1.128	0.000
122	1	255	301.500	900.500	2.828	1.128	1.128	0.000
123	5	255	326.700	899.500	10.485	4.356	1.462	154.330
124	1	255	344.500	900.500	2.828	1.128	1.128	0.000
125	1	255	347.500	900.500	2.828	1.128	1.128	0.000
126	1	255	350.500	900.500	2.828	1.128	1.128	0.000
127	1	255	364.500	900.500	2.828	1.128	1.128	0.000
128	2	255	392.000	900.000	5.657	2.596	0.981	45.000
129	1	255	418.500	900.500	2.828	1.128	1.128	0.000
130	2	255	421.500	900.000	4.828	2.257	1.128	90.000
131	2	255	429.500	900.000	4.828	2.257	1.128	90.000
132	1	255	440.500	900.500	2.828	1.128	1.128	0.000
133	21	255	447.929	898.071	41.698	6.794	3.936	174.788
134	1	255	451.500	900.500	2.828	1.128	1.128	0.000
135	1	255	453.500	900.500	2.828	1.128	1.128	0.000
136	1	255	495.500	900.500	2.828	1.128	1.128	0.000
137	1	255	511.500	900.500	2.828	1.128	1.128	0.000
138	22	255	513.909	897.318	37.941	6.103	4.590	25.973
139	1	255	85.500	899.500	2.828	1.128	1.128	0.000
140	2	255	136.000	899.500	4.243	2.257	1.128	0.000
141	2	255	159.000	899.500	4.243	2.257	1.128	0.000
142	2	255	170.000	899.500	4.243	2.257	1.128	0.000
143	2	255	172.500	899.000	4.828	2.257	1.128	90.000
144	1	255	178.500	899.500	2.828	1.128	1.128	0.000
145	1	255	222.500	899.500	2.828	1.128	1.128	0.000
146	1	255	252.500	899.500	2.828	1.128	1.128	0.000
147	1	255	268.500	899.500	2.828	1.128	1.128	0.000
148	1	255	274.500	899.500	2.828	1.128	1.128	0.000
149	4	255	277.750	898.000	10.485	4.428	1.150	53.909
150	2	255	288.000	899.500	4.243	2.257	1.128	0.000
151	5	255	303.100	897.500	12.485	4.104	1.551	96.402
152	1	255	315.500	899.500	2.828	1.128	1.128	0.000
153	1	255	330.500	899.500	2.828	1.128	1.128	0.000
154	1	255	359.500	899.500	2.828	1.128	1.128	0.000
155	1	255	371.500	899.500	2.828	1.128	1.128	0.000
156	11	255	375.682	896.682	25.213	4.631	3.024	75.296
157	7	255	409.357	897.500	18.971	3.616	2.465	41.942
158	1	255	412.500	899.500	2.828	1.128	1.128	0.000
159	1	255	431.500	899.500	2.828	1.128	1.128	0.000
160	2	255	433.500	899.000	4.828	2.257	1.128	90.000
161	2	255	438.000	899.500	4.243	2.257	1.128	0.000
162	1	255	457.500	899.500	2.828	1.128	1.128	0.000
163	2	255	460.500	899.000	4.828	2.257	1.128	90.000
164	1	255	483.500	899.500	2.828	1.128	1.128	0.000
165	1	255	506.500	899.500	2.828	1.128	1.128	0.000
166	1	255	6.500	898.500	2.828	1.128	1.128	0.000
167	2	255	80.000	898.000	5.657	2.596	0.981	135.000
168	1	255	120.500	898.500	2.828	1.128	1.128	0.000
169	2	255	126.500	898.000	4.828	2.257	1.128	90.000
170	2	255	149.000	898.000	5.657	2.596	0.981	45.000
171	1	255	154.500	898.500	2.828	1.128	1.128	0.000
172	1	255	175.500	898.500	2.828	1.128	1.128	0.000
173	1	255	203.500	898.500	2.828	1.128	1.128	0.000
174	1	255	208.500	898.500	2.828	1.128	1.128	0.000
175	1	255	214.500	898.500	2.828	1.128	1.128	0.000
176	2	255	220.000	898.500	4.243	2.257	1.128	0.000
177	1	255	225.500	898.500	2.828	1.128	1.128	0.000
178	4	255	242.250	897.000	10.485	3.417	1.490	83.380
179	1	255	245.500	898.500	2.828	1.128	1.128	0.000
180	1	255	247.500	898.500	2.828	1.128	1.128	0.000
181	1	255	258.500	898.500	2.828	1.128	1.128	0.000
182	1	255	284.500	898.500	2.828	1.128	1.128	0.000
183	2	255	310.000	898.500	4.243	2.257	1.128	0.000
184	4	255	321.750	898.000	8.485	2.887	1.764	14.872
185	2	255	345.000	898.000	5.657	2.596	0.981	135.000
186	1	255	362.500	898.500	2.828	1.128	1.128	0.000
187	2	255	425.000	898.500	4.243	2.257	1.128	0.000
188	6	255	440.833	897.500	9.899	3.416	2.236	0.000
189	64	255	489.672	893.562	76.811	12.046	6.765	171.071
190	2	255	494.500	898.000	4.828	2.257	1.128	90.000
191	1	255	10.500	897.500	2.828	1.128	1.128	0.000
192	2	255	39.000	897.000	5.657	2.596	0.981	135.000
193	1	255	76.500	897.500	2.828	1.128	1.128	0.000
194	1	255	90.500	897.500	2.828	1.128	1.128	0.000
195	1	255	110.500	897.500	2.828	1.128	1.128	0.000
196	4	255	132.000	897.250	9.899	3.417	1.490	6.620
197	2	255	145.000	897.000	5.657	2.596	0.981	135.000
198	1	255	151.500	897.500	2.828	1.128	1.128	0.000
199	1	255	227.500	897.500	2.828	1.128	1.128	0.000
200	4	255	250.500	897.000	7.071	3.216	1.583	148.283
201	1	255	268.500	897.500	2.828	1.128	1.128	0.000
202	2	255	281.000	897.500	4.243	2.257	1.128	0.000
203	5	255	293.700	897.300	9.071	4.183	1.522	10.901
204	3	255	313.500	896.500	6.828	3.385	1.128	90.000
205	1	255	331.500	897.500	2.828	1.128	1.128	0.000
206	2	255	349.500	897.000	4.828	2.257	1.128	90.000
207	1	255	369.500	897.500	2.828	1.128	1.128	0.000
208	24	255	370.500	891.875	42.527	7.361	4.152	84.101
209	1	255	379.500	897.500	2.828	1.128	1.128	0.000
210	6	255	388.833	895.667	12.485	4.525	1.688	114.564
211	18	255	394.778	894.167	32.284	5.736	3.996	141.649
212	4	255	415.250	897.250	7.071	3.192	1.596	18.435
213	2	255	430.000	897.000	5.657	2.596	0.981	45.000
214	4	255	437.250	896.750	7.657	3.192	1.596	108.435
215	1	255	492.500	897.500	2.828	1.128	1.128	0.000
216	1	255	119.500	896.500	2.828	1.128	1.128	0.000
217	1	255	135.500	896.500	2.828	1.128	1.128	0.000
218	1	255	201.500	896.500	2.828	1.128	1.128	0.000
219	4	255	215.000	895.000	11.314	5.325	0.956	135.000
220	3	255	219.500	895.500	6.828	3.385	1.128	90.000
221	4	255	232.000	895.500	11.314	3.332	1.529	153.435
222	1	255	238.500	896.500	2.828	1.128	1.128	0.000
223	1	255	244.500	896.500	2.828	1.128	1.128	0.000
224	3	255	247.167	895.500	7.657	3.213	1.189	118.155
225	1	255	255.500	896.500	2.828	1.128	1.128	0.000
226	1	255	262.500	896.500	2.828	1.128	1.128	0.000
227	1	255	264.500	896.500	2.828	1.128	1.128	0.000
228	1	255	271.500	896.500	2.828	1.128	1.128	0.000
229	2	255	285.000	896.500	4.243	2.257	1.128	0.000
230	1	255	287.500	896.500	2.828	1.128	1.128	0.000
231	1	255	306.500	896.500	2.828	1.128	1.128	0.000
232	1	255	311.500	896.500	2.828	1.128	1.128	0.000
233	2	255	315.500	896.000	4.828	2.257	1.128	90.000
234	3	255	362.500	895.833	7.071	3.213	1.189	28.155
235	12	255	384.250	895.333	19.556	5.785	2.641	168.760
236	1	255	399.500	896.500	2.828	1.128	1.128	0.000
237	1	255	403.500	896.500	2.828	1.128	1.128	0.000
238	1	255	422.500	896.500	2.828	1.128	1.128	0.000
239	1	255	425.500	896.500	2.828	1.128	1.128	0.000
240	9	255	426.722	894.389	17.314	4.221	2.715	25.855
