 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	53	255	709.972	898.877	29.799	9.422	7.162	56.298
2	3	255	715.500	899.500	6.828	3.385	1.128	90.000
3	67	255	986.619	896.500	28.971	9.397	9.078	90.000
4	71	255	81.359	832.021	30.971	11.219	8.058	121.220
5	92	255	665.707	816.859	34.627	11.627	10.075	10.847
6	82	255	840.671	801.476	34.627	11.207	9.317	162.898
7	60	255	22.183	794.717	27.556	9.218	8.287	85.254
8	77	255	4.864	785.981	33.456	11.617	8.439	117.133
9	92	255	594.717	780.402	35.213	12.265	9.551	127.220
10	79	255	748.070	780.070	32.385	10.713	9.389	7.067
11	66	255	471.045	768.909	29.213	10.444	8.046	59.700
12	98	255	655.367	761.010	47.698	15.228	8.194	144.037
13	58	255	244.517	753.086	26.971	9.300	7.940	157.439
14	60	255	78.317	743.200	28.385	10.092	7.570	117.341
15	68	255	89.794	732.794	30.385	11.112	7.791	76.128
16	76	255	128.895	725.908	31.799	11.746	8.239	99.734
17	90	255	623.967	721.089	34.627	12.885	8.893	27.274
18	77	255	229.396	682.292	31.799	10.648	9.207	54.078
19	194	255	575.320	661.000	59.012	17.442	14.162	71.365
20	79	255	1159.373	651.842	32.971	11.418	8.809	109.900
21	88	255	1079.307	626.739	33.799	11.637	9.628	113.830
22	64	255	821.609	625.656	32.042	9.547	8.535	109.337
23	80	255	225.438	612.663	33.213	11.302	9.012	99.634
24	109	255	571.968	611.032	38.870	13.507	10.275	160.473
25	75	255	666.260	612.260	31.213	10.097	9.457	45.000
26	60	255	196.183	579.333	38.284	9.862	7.747	65.547
27	38	255	824.184	538.026	24.385	8.221	5.885	152.942
28	45	255	815.456	533.833	26.385	9.391	6.101	70.202
29	83	255	863.404	527.151	34.627	12.359	8.551	75.529
30	71	255	571.345	527.655	31.213	11.293	8.005	160.964
31	33	255	823.591	528.106	22.971	7.308	5.750	26.780
32	72	255	329.944	514.056	30.627	11.231	8.162	134.999
33	66	255	842.000	498.136	38.870	10.074	8.341	88.127
34	55	255	753.755	478.100	26.971	9.683	7.232	23.605
35	96	255	250.646	470.458	35.213	11.258	10.857	107.549
36	79	255	1120.475	469.411	31.799	11.194	8.986	108.283
37	70	255	227.043	445.771	29.799	10.288	8.663	167.305
38	50	255	828.440	427.760	29.213	8.347	7.627	60.895
39	75	255	811.940	418.313	31.556	11.506	8.300	79.456
40	76	255	93.513	413.776	31.213	10.357	9.343	91.948
41	80	255	1175.000	400.750	33.213	10.796	9.435	40.735
42	73	255	1179.637	392.116	31.556	10.133	9.173	56.746
43	1	255	43.500	370.500	2.828	1.128	1.128	0.000
44	72	255	1141.764	362.500	30.971	10.938	8.381	41.439
45	7	255	595.643	364.214	9.071	3.507	2.542	30.473
46	96	255	526.438	349.198	36.042	11.777	10.378	70.113
47	65	255	1059.731	303.408	29.556	9.675	8.554	103.063
48	63	255	508.452	245.151	28.728	9.765	8.215	15.037
49	45	255	815.833	232.856	28.385	9.732	5.887	134.641
50	87	255	1133.466	201.190	34.627	12.237	9.052	49.734
51	72	255	531.208	177.667	30.627	11.250	8.148	139.701
52	61	255	1174.697	178.877	29.213	10.759	7.219	31.326
53	68	255	1179.618	172.132	29.799	10.333	8.379	42.962
54	52	255	73.673	135.712	35.213	9.643	6.866	78.492
55	2	255	154.000	139.500	4.243	2.257	1.128	0.000
56	16	255	860.250	130.688	14.728	5.263	3.871	39.626
57	62	255	597.435	124.903	35.213	9.362	8.432	9.583
58	63	255	6.690	115.738	28.385	9.209	8.711	148.591
59	85	255	271.324	96.700	33.799	12.308	8.793	150.061
60	58	255	651.034	77.655	29.456	10.261	7.197	33.049
61	42	255	481.167	74.024	24.385	8.214	6.510	106.579
62	6	255	886.000	74.500	7.657	3.385	2.257	90.000
63	24	255	894.500	72.792	16.728	5.735	5.329	90.000
64	102	255	394.618	64.716	36.385	11.692	11.108	167.162
65	2	255	186.500	51.000	4.828	2.257	1.128	90.000
66	2	255	332.500	48.000	4.828	2.257	1.128	90.000
67	60	255	1017.350	44.033	33.213	9.492	8.048	37.492
68	62	255	969.081	11.597	28.142	9.849	8.015	118.956
69	9	255	888.389	-0.056	15.899	6.145	1.865	5.194
