 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	1	255	370.500	902.500	2.828	1.128	1.128	0.000
2	2	255	425.000	902.500	4.243	2.257	1.128	0.000
3	1	255	495.500	902.500	2.828	1.128	1.128	0.000
4	2	255	513.500	902.000	4.828	2.257	1.128	90.000
5	3	255	518.500	901.500	6.828	3.385	1.128	90.000
6	1	255	520.500	902.500	2.828	1.128	1.128	0.000
7	2	255	533.000	902.500	4.243	2.257	1.128	0.000
8	9	255	566.278	902.056	17.899	6.961	1.646	167.734
9	7	255	583.214	902.071	9.657	4.154	2.146	171.650
10	45	255	594.411	898.811	49.941	8.643	6.629	76.335
11	3	255	608.500	902.500	6.243	3.385	1.128	0.000
12	74	255	608.311	897.919	50.184	14.888	6.329	11.009
13	159	255	627.682	893.481	114.610	20.709	9.776	109.485
14	35	255	635.186	900.500	22.728	7.329	6.080	162.208
15	271	255	647.873	893.685	97.983	21.365	16.150	107.793
16	494	255	666.526	890.180	107.012	30.126	20.878	84.263
17	126769	255	1050.677	738.166	3391.292	552.536	292.121	137.284
18	5	255	535.900	900.100	9.657	3.316	1.920	45.000
19	1	255	464.500	900.500	2.828	1.128	1.128	0.000
20	2	255	561.000	900.500	4.243	2.257	1.128	0.000
21	2	255	541.000	899.500	4.243	2.257	1.128	0.000
22	4	255	573.500	898.750	7.071	2.734	1.863	0.000
23	3	255	585.500	898.833	7.071	3.213	1.189	151.845
24	1	255	415.500	898.500	2.828	1.128	1.128	0.000
25	1	255	428.500	898.500	2.828	1.128	1.128	0.000
26	10	255	564.600	897.700	17.657	8.265	1.540	4.924
27	3	255	518.500	896.500	6.828	3.385	1.128	90.000
28	6	255	536.667	896.667	13.314	3.816	2.002	171.870
29	25	255	616.780	894.740	28.627	7.820	4.070	37.893
30	2	255	482.000	896.500	4.243	2.257	1.128	0.000
31	4	255	585.500	895.750	7.071	2.734	1.863	0.000
32	1	255	412.500	895.500	2.828	1.128	1.128	0.000
33	1	255	490.500	895.500	2.828	1.128	1.128	0.000
34	1	255	492.500	895.500	2.828	1.128	1.128	0.000
35	5	255	528.100	895.100	9.071	4.076	1.562	159.006
36	1	255	541.500	895.500	2.828	1.128	1.128	0.000
37	11	255	565.045	894.500	18.142	5.289	2.648	15.817
38	1	255	428.500	894.500	2.828	1.128	1.128	0.000
39	1	255	433.500	894.500	2.828	1.128	1.128	0.000
40	5	255	534.700	893.700	8.485	3.833	1.661	135.000
41	5	255	590.700	893.900	7.657	3.144	2.025	18.435
42	54	255	608.537	884.981	81.154	18.683	3.680	144.471
43	1	255	424.500	893.500	2.828	1.128	1.128	0.000
44	1	255	442.500	893.500	2.828	1.128	1.128	0.000
45	1	255	520.500	893.500	2.828	1.128	1.128	0.000
46	6	255	577.500	893.000	7.657	3.385	2.257	0.000
47	3	255	584.833	893.167	5.657	2.365	1.615	45.000
48	1	255	431.500	891.500	2.828	1.128	1.128	0.000
49	2	255	521.000	891.500	4.243	2.257	1.128	0.000
50	3	255	527.167	891.167	5.657	2.365	1.615	135.000
51	2	255	592.500	891.000	4.828	2.257	1.128	90.000
52	1	255	606.500	891.500	2.828	1.128	1.128	0.000
53	4	255	610.500	891.000	7.071	3.216	1.583	31.717
54	2	255	567.500	890.000	4.828	2.257	1.128	90.000
55	2	255	570.000	890.500	4.243	2.257	1.128	0.000
56	5	255	580.700	890.300	9.071	4.183	1.522	10.901
57	2	255	558.000	889.500	4.243	2.257	1.128	0.000
58	3	255	575.500	888.500	6.828	3.385	1.128	90.000
59	3	255	619.500	888.500	6.828	3.385	1.128	90.000
60	1	255	447.500	887.500	2.828	1.128	1.128	0.000
61	1	255	479.500	887.500	2.828	1.128	1.128	0.000
62	1	255	496.500	887.500	2.828	1.128	1.128	0.000
63	1	255	530.500	887.500	2.828	1.128	1.128	0.000
64	1	255	616.500	887.500	2.828	1.128	1.128	0.000
65	10	255	620.800	886.000	14.728	6.184	2.059	28.451
66	18	255	638.056	885.889	19.556	6.060	3.782	19.961
67	1	255	551.500	886.500	2.828	1.128	1.128	0.000
68	1	255	559.500	886.500	2.828	1.128	1.128	0.000
69	1	255	568.500	886.500	2.828	1.128	1.128	0.000
70	2	255	579.000	886.500	4.243	2.257	1.128	0.000
71	1	255	589.500	886.500	2.828	1.128	1.128	0.000
72	1	255	611.500	886.500	2.828	1.128	1.128	0.000
73	2	255	519.500	885.000	4.828	2.257	1.128	90.000
74	2	255	615.500	885.000	4.828	2.257	1.128	90.000
75	21	255	640.929	881.548	26.385	8.061	3.317	47.165
76	1	255	503.500	884.500	2.828	1.128	1.128	0.000
77	3	255	560.833	884.167	5.657	2.365	1.615	45.000
78	5	255	599.300	884.100	7.071	3.144	2.025	18.435
79	1	255	516.500	883.500	2.828	1.128	1.128	0.000
