 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	198	255	768.071	895.909	64.770	19.776	12.748	137.577
2	49	255	44.051	859.398	26.385	9.248	6.746	36.527
3	60	255	55.000	856.717	28.971	9.684	7.889	113.128
4	93	255	47.435	850.478	37.799	12.672	9.344	74.870
5	100	255	578.120	817.150	36.385	13.401	9.501	117.755
6	82	255	137.195	815.622	34.042	12.129	8.608	133.839
7	3	255	0.500	812.500	6.828	3.385	1.128	90.000
8	87	255	106.293	781.247	33.456	11.747	9.430	47.778
9	50	255	590.200	719.420	41.698	8.987	7.084	118.366
10	77	255	833.578	699.578	32.385	11.460	8.555	101.288
11	159	255	15.701	683.406	52.527	18.139	11.161	174.955
12	21	255	17.881	674.071	18.728	6.602	4.050	167.805
13	248	255	42.669	654.133	69.255	19.732	16.002	159.370
14	25	255	1.620	649.740	21.314	8.011	3.974	84.419
15	247	255	18.229	618.148	63.941	18.712	16.807	41.749
16	79	255	466.437	589.373	31.799	11.462	8.776	69.690
17	129	255	21.182	574.198	41.113	13.819	11.886	13.523
18	63	255	43.976	564.262	28.971	10.326	7.768	76.797
19	70	255	593.400	523.400	31.213	10.694	8.334	135.000
20	67	255	514.724	519.127	29.799	11.027	7.736	109.634
21	87	255	6.144	479.891	34.042	11.415	9.704	69.589
22	102	255	314.990	426.186	36.385	12.458	10.425	96.043
23	74	255	430.932	425.149	31.213	10.876	8.663	149.611
24	24	255	1.792	369.333	20.728	7.391	4.135	96.377
25	62	255	312.532	343.194	42.284	9.228	8.554	146.281
26	2	255	928.000	335.500	4.243	2.257	1.128	0.000
27	22	255	928.136	330.955	18.728	6.766	4.140	106.003
28	5	255	924.700	330.500	11.657	4.839	1.316	101.749
29	78	255	620.782	302.538	31.799	11.855	8.377	148.804
30	75	255	743.220	174.367	30.385	10.607	9.003	21.678
31	28	255	47.786	130.500	25.799	8.377	4.256	53.988
32	53	255	776.066	122.443	61.012	13.037	5.176	107.866
33	2	255	51.500	128.000	4.828	2.257	1.128	90.000
34	96	255	1070.573	95.219	36.385	11.982	10.202	170.515
35	2	255	930.000	53.000	5.657	2.596	0.981	45.000
36	51	255	932.186	48.167	34.042	8.708	7.457	50.688
37	145	255	929.334	16.872	45.698	17.152	10.764	117.490
38	70	255	140.643	14.314	30.385	9.751	9.140	150.202
39	67	255	515.306	2.530	30.142	10.229	8.340	11.546
