 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	70	255	902.443	899.071	38.042	10.607	8.402	173.621
2	66	255	499.455	888.818	34.870	9.736	8.631	106.961
3	49	255	671.214	888.867	31.213	9.803	6.364	124.004
4	75	255	948.447	853.633	31.799	11.002	8.679	71.207
5	61	255	309.828	830.402	28.627	9.953	7.804	155.047
6	100	255	1164.110	826.940	35.799	12.696	10.028	160.977
7	76	255	1075.237	807.803	30.627	10.259	9.432	127.865
8	63	255	424.183	771.944	28.385	9.930	8.078	176.499
9	80	255	107.350	765.862	32.042	11.529	8.835	36.877
10	62	255	188.516	760.823	41.113	9.560	8.257	87.218
11	1	255	255.500	753.500	2.828	1.128	1.128	0.000
12	71	255	718.162	740.838	30.042	10.156	8.901	44.471
13	100	255	636.650	730.980	36.042	11.477	11.094	98.719
14	67	255	400.172	688.351	29.799	10.276	8.301	101.618
15	99	255	342.086	626.207	35.799	12.644	9.969	165.615
16	91	255	365.247	553.610	34.627	11.805	9.815	46.589
17	96	255	870.510	550.708	35.213	11.957	10.222	132.927
18	228	255	1077.667	506.715	62.284	23.341	12.437	83.818
19	76	255	1087.605	503.000	32.385	11.709	8.265	90.000
20	78	255	512.192	502.564	31.799	11.021	9.011	92.442
21	74	255	140.378	476.581	31.456	11.449	8.230	44.963
22	96	255	595.448	468.760	44.527	15.744	7.763	26.983
23	9	255	602.944	461.722	11.899	4.534	2.528	142.628
24	4	255	599.000	458.000	5.657	2.257	2.257	0.000
25	45	255	11.144	439.700	30.385	9.410	6.089	67.798
26	49	255	834.541	420.520	35.213	8.628	7.231	6.599
27	79	255	1218.285	406.778	32.627	11.728	8.577	98.910
28	96	255	810.365	403.500	38.870	13.134	9.306	52.923
29	5	255	91.700	400.100	7.657	3.144	2.025	161.565
30	63	255	956.532	388.929	30.627	9.436	8.501	129.366
31	62	255	234.290	381.274	40.284	9.746	8.100	106.308
32	66	255	509.030	375.636	31.213	10.733	7.829	122.319
33	39	255	517.808	374.013	30.971	7.892	6.292	164.685
34	39	255	510.962	366.859	22.971	8.177	6.072	164.870
35	79	255	568.880	356.272	35.213	11.669	8.620	74.724
36	95	255	667.068	306.532	35.213	11.817	10.236	106.428
37	73	255	159.938	283.555	36.627	12.022	7.731	9.686
38	64	255	932.047	264.766	31.799	9.145	8.910	100.817
39	109	255	102.225	260.720	37.456	12.702	10.926	80.573
40	51	255	167.657	216.814	32.627	9.061	7.167	69.497
41	62	255	426.113	211.742	34.627	9.569	8.250	6.558
42	51	255	512.676	192.343	30.042	9.426	6.889	90.980
43	21	255	635.500	192.357	15.899	5.622	4.756	51.047
44	64	255	672.172	168.469	29.213	9.531	8.550	168.054
45	58	255	1125.207	160.707	29.213	9.982	7.398	19.202
46	87	255	1036.213	153.224	34.870	12.786	8.663	125.359
47	135	255	196.767	135.967	45.113	17.028	10.094	157.515
48	68	255	189.926	117.603	43.113	10.951	7.906	119.844
49	70	255	432.214	106.314	29.799	10.602	8.407	152.027
50	88	255	658.398	97.057	38.627	11.341	9.880	148.768
51	53	255	325.443	51.575	32.042	9.403	7.176	79.157
52	57	255	1023.482	52.377	26.971	9.167	7.917	159.199
53	78	255	459.436	33.256	31.799	11.256	8.823	82.621
54	79	255	1007.449	18.272	33.213	10.849	9.272	8.691
55	64	255	1095.203	6.469	30.627	10.302	7.910	64.321
