 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	24	255	54.833	901.542	21.314	8.643	3.535	177.026
2	69	255	355.862	898.297	29.799	9.688	9.068	163.466
3	106	255	446.387	897.019	36.870	13.170	10.248	134.260
4	108	255	272.019	888.611	38.042	12.278	11.200	146.659
5	62	255	384.161	889.645	28.385	9.190	8.590	57.526
6	95	255	532.837	886.174	35.213	12.757	9.482	22.897
7	115	255	320.674	874.378	38.627	13.134	11.148	169.507
8	68	255	392.574	873.176	29.213	9.976	8.679	69.249
9	88	255	314.432	863.193	33.799	12.217	9.171	147.295
10	108	255	632.611	857.963	38.870	13.175	10.437	19.059
11	106	255	258.500	849.774	37.213	13.535	9.971	168.567
12	103	255	552.024	846.617	36.627	12.117	10.823	21.484
13	91	255	893.478	821.049	33.799	11.701	9.902	26.588
14	81	255	53.636	815.512	33.213	12.337	8.359	153.479
15	62	255	495.500	807.258	28.142	10.483	7.530	90.000
16	70	255	134.043	801.457	29.213	10.413	8.559	148.468
17	95	255	78.089	797.005	38.385	12.458	9.709	114.049
18	76	255	978.855	794.947	33.213	12.166	7.954	166.482
19	80	255	976.388	786.675	31.799	11.210	9.087	170.860
20	79	255	884.348	773.297	33.213	12.095	8.317	120.711
21	1	255	1084.500	769.500	2.828	1.128	1.128	0.000
22	224	255	118.415	752.558	66.669	17.330	16.457	2.766
23	116	255	191.543	756.897	38.870	12.843	11.500	30.112
24	92	255	62.598	750.326	34.627	12.042	9.727	134.501
25	1	255	48.500	743.500	2.828	1.128	1.128	0.000
26	100	255	45.560	736.310	38.042	12.170	10.462	38.412
27	99	255	171.015	732.955	35.799	12.752	9.885	18.152
28	5	255	225.100	733.300	7.657	3.144	2.025	71.565
29	77	255	12.019	724.045	32.627	11.339	8.646	60.970
30	16	255	0.938	717.500	19.657	9.158	2.224	90.000
31	91	255	24.786	712.896	35.213	12.016	9.642	174.306
32	65	255	723.746	703.315	28.627	9.882	8.375	20.292
33	109	255	192.491	701.674	38.627	12.778	10.862	5.771
34	8	255	527.375	701.250	11.314	4.974	2.048	138.139
35	94	255	29.000	695.415	34.385	13.175	9.084	180.000
36	10	255	0.900	693.000	13.657	5.848	2.177	90.000
37	68	255	678.838	690.779	30.042	10.636	8.141	36.165
38	114	255	979.684	688.070	38.627	12.266	11.834	91.510
39	62	255	1156.032	687.468	33.799	9.815	8.043	63.774
40	460	255	15.439	676.685	93.740	25.048	23.383	135.219
