 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	54	255	83.074	874.685	29.799	9.177	7.492	95.010
2	91	255	117.830	834.533	35.213	11.773	9.842	82.771
3	54	255	677.407	748.648	27.799	9.839	6.988	121.416
4	95	255	355.342	727.753	35.456	12.240	9.882	63.991
5	85	255	1001.912	723.076	34.627	12.278	8.815	133.551
6	92	255	907.576	709.435	38.870	11.493	10.192	28.674
7	67	255	915.216	668.575	29.213	10.061	8.479	170.890
8	81	255	656.673	561.636	32.971	11.462	8.997	92.636
9	55	255	752.809	357.009	34.627	8.643	8.103	49.906
10	224	255	905.737	288.326	58.284	17.795	16.027	75.500
11	85	255	391.476	282.288	32.971	11.496	9.414	13.858
12	75	255	1147.473	238.060	34.385	10.792	8.849	74.947
13	25	255	245.180	89.380	20.142	5.847	5.444	130.692
