 	Area	Mean	XM	YM	Perim.	Major	Minor	Angle
1	68	255	908.338	888.368	29.556	9.758	8.872	60.460
2	85	255	1012.865	606.476	32.870	12.043	8.986	133.987
3	148	255	400.655	523.696	58.426	14.327	13.153	118.665
4	87	255	306.810	511.397	33.799	12.035	9.204	122.707
5	102	255	1116.578	397.980	36.627	13.394	9.696	22.367
6	87	255	968.638	357.293	34.385	11.955	9.266	98.617
7	15	255	1099.233	352.167	15.314	5.631	3.392	10.257
8	107	255	1098.472	344.790	56.184	17.766	7.668	167.313
9	4	255	1183.000	337.000	5.657	2.257	2.257	0.000
10	108	255	207.667	310.796	38.870	12.878	10.678	31.443
11	90	255	750.100	260.967	34.627	12.709	9.016	115.332
12	72	255	282.000	165.000	30.142	10.799	8.489	13.787
13	63	255	1031.548	158.754	37.698	9.751	8.226	170.067
14	78	255	443.128	83.000	33.799	12.087	8.216	179.484
15	9	255	1128.611	47.833	10.485	3.919	2.924	110.301
16	19	255	994.553	0.395	20.728	8.105	2.985	179.398
